診療科,医師,総点数 (点),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
耳鼻咽喉科,浅井　淨二,40254,7360,5660,8997,2630,3428,0,1686,0,0,9360,0,0,0,0,1133
,花井　伽奈子,238670,47780,24147,42560,12640,18748,225,12809,520,0,68117,4520,0,0,0,6604
,堀部　兼孝,59492,18805,5440,10605,0,5508,0,2433,0,0,12365,2260,0,0,0,2076
,犬塚　雄貴,53124,11890,5581,12374,0,4792,247,2437,0,0,13007,1130,0,0,0,1666
,金屋　歳三,33087,6590,2694,6050,5260,2242,0,1726,0,0,7650,0,0,0,0,875
,前田　宗伯,745399,145086,83355,121033,83650,52776,10877,36673,18849,0,156898,16950,0,0,0,19252
,中村　宏舞,33871,7770,4061,6341,2630,2736,0,1372,1352,0,6580,0,0,0,0,1029
,遠山　佐喜恵,578961,129420,51213,113185,16430,42828,224,29843,6136,0,166188,6780,0,0,0,16714
,小計(診療科),1782858,374701,182151,321145,123240,133058,11573,88979,26857,0,440165,31640,0,0,0,49349
,合　計,1782858,374701,182151,321145,123240,133058,11573,88979,26857,0,440165,31640,0,0,0,49349
